beach_id,grad,udaljenost_km
478,I,1.16
479,Kolan,3.87
480,Jasenice,2.96
481,Molat,3.28
482,Pašman,1.34
483,Nin,1.2
484,Nin,0.91
485,Novigrad,0.0
486,Olib,0.96
487,Kolan,3.26
488,Premuda,2.49
489,Preko,14.78
490,Preko,15.51
491,Silba,0.69
492,Kukljica,0.55
493,Preko,0.44
494,Preko,0.33
495,Preko,1.16
496,Vir,1.74
497,Vir,2.14
498,Pag,10.08
499,Pakoštane,2.75
500,Pakoštane,1.58
501,Pašman,5.37
502,Zadar,10.43
503,Posedarje,0.41
504,Privlaka,1.0
505,Rava,1.49
506,Ražanac,1.92
507,Jasenice,4.01
508,Ražanac,1.92
509,Sali,0.31
510,Starigrad,7.84
511,Silba,1.08
512,Starigrad-Paklenica,1.34
513,Sukošan,1.45
514,Sukošan,1.45
515,Sveti Filip i Jakov,0.37
516,Sveti Filip i Jakov,6.65
517,Pag,3.72
518,Tkon,0.54
519,Starigrad,7.84
520,Sveti Filip i Jakov,1.87
521,Preko,8.77
522,I,1.16
523,Pakoštane,3.59
524,Vrsi,2.86
525,Zadar,1.88
526,Zadar,1.08
527,Zadar,2.84
528,Zadar,4.38
529,Zadar,3.43
530,Zadar,3.01
531,Zadar,1.41
532,Zadar,1.15
533,Zadar,1.19
534,Zadar,2.6
535,Zadar,3.07
536,Zadar,2.17
537,Zadar,3.01
538,Molat,4.95
539,Nin,2.57
540,Nin,3.13
541,Nin,2.22
542,Nin,2.21
543,Sali,31.8
544,Pašman,5.57
545,Biograd n/m,1.73
546,Šibenik,13.94
547,Rogoznica,1.4
548,Tisno,0.77
549,Šibenik,4.11
550,Šibenik,4.09
551,Murter Kornati,21.19
552,Murter Kornati,20.66
553,Murter Kornati,20.38
554,Murter Kornati,20.6
555,Murter Kornati,21.5
556,Pirovac,1.05
557,Pirovac,0.67
558,Pirovac,0.52
559,Pirovac,0.57
560,Pirovac,0.41
561,Pirovac,0.52
562,Primošten,1.53
563,Primošten,1.3
564,Primošten,1.47
565,Primošten,0.32
566,Primošten,0.54
567,Primošten,1.03
568,Primošten,0.5
569,Primošten,0.72
570,Primošten,0.44
571,Primošten,0.29
572,Primošten,0.44
573,Primošten,0.36
574,Rogoznica,0.44
575,Rogoznica,0.31
576,Skradin,0.37
577,Šibenik,0.61
578,Šibenik,1.81
579,Šibenik,0.49
580,Šibenik,1.68
581,Šibenik,1.53
582,Šibenik,2.15
583,Šibenik,1.39
584,Šibenik,3.19
585,Šibenik,8.6
586,Šibenik,9.13
587,Šibenik,4.68
588,Šibenik,4.51
589,Šibenik,4.42
590,Šibenik,5.22
591,Šibenik,4.91
592,Šibenik,7.01
593,Šibenik,3.14
594,Šibenik,5.43
595,Šibenik,7.8
596,Šibenik,5.28
597,Šibenik,5.39
598,Šibenik,0.07
599,Šibenik,0.17
600,Šibenik,0.7
601,Šibenik,0.42
602,Šibenik,0.24
603,Šibenik,0.23
604,Šibenik,0.48
605,Šibenik,8.67
606,Šibenik,10.48
607,Šibenik,5.75
608,Šibenik,5.52
609,Šibenik,5.57
610,Tisno,2.59
611,Tisno,2.91
612,Tisno,2.36
613,Tisno,4.52
614,Tisno,1.23
615,Tisno,1.77
616,Tisno,1.57
617,Tisno,1.3
618,Tisno,1.27
619,Tisno,0.9
620,Tribunj,1.61
621,Tribunj,0.47
622,Vodice,0.93
623,Vodice,1.05
624,Vodice,0.81
