beach_id,marina_id,udaljenost_km
167,node/1599814456,9.15
167,node/10280266203,5.88
167,node/11469851119,8.71
168,node/1599814456,9.43
168,node/10280266203,6.14
168,node/11469851119,8.89
169,node/431088510,8.89
169,node/579792962,5.48
169,node/579794631,2.78
169,node/673411579,1.42
169,node/1860020712,8.84
169,node/2951332985,4.78
169,node/12409171546,4.39
169,node/13507759987,9.97
170,node/431088510,8.48
170,node/579792962,5.92
170,node/579794631,3.16
170,node/673411579,1.79
170,node/1860020712,8.44
170,node/2951332985,5.18
170,node/12409171546,3.99
170,node/13507759987,9.57
171,node/1599814456,5.11
171,node/10280266203,1.78
172,node/1599814456,4.81
172,node/10280266203,1.47
173,node/431088510,1.78
173,node/497549320,8.49
173,node/517872826,4.57
173,node/517904544,3.76
173,node/579794631,8.57
173,node/673411579,8.59
173,node/1449508274,5.04
173,node/1860020712,1.67
173,node/12409171546,2.83
173,node/13507759987,2.8
174,node/431088510,1.27
174,node/497549320,8.05
174,node/517872826,4.07
174,node/517904544,3.28
174,node/579794631,9.09
174,node/673411579,9.12
174,node/1449508274,4.55
174,node/1860020712,1.14
174,node/4262750427,9.79
174,node/12409171546,3.35
174,node/13507759987,2.27
175,node/431088510,1.56
175,node/497549320,8.31
175,node/517872826,4.36
175,node/517904544,3.56
175,node/579794631,8.78
175,node/673411579,8.82
175,node/1449508274,4.84
175,node/1860020712,1.45
175,node/12409171546,3.05
175,node/13507759987,2.57
176,node/431088510,1.21
176,node/497549320,7.86
176,node/517872826,3.97
176,node/517904544,3.16
176,node/579794631,9.15
176,node/673411579,9.08
176,node/1449508274,4.44
176,node/1860020712,1.16
176,node/4262750427,9.67
176,node/12409171546,3.3
176,node/13507759987,2.28
177,node/431088510,1.08
177,node/497549320,7.91
177,node/517872826,3.86
177,node/517904544,3.1
177,node/579794631,9.33
177,node/673411579,9.41
177,node/1449508274,4.35
177,node/1860020712,0.91
177,node/4262750427,9.59
177,node/12409171546,3.64
177,node/13507759987,2.01
178,node/431088510,1.03
178,node/497549320,7.71
178,node/517872826,3.52
178,node/517904544,2.86
178,node/579794631,9.87
178,node/1449508274,4.03
178,node/1860020712,0.75
178,node/4262750427,9.22
178,node/12409171546,4.34
178,node/13507759987,1.53
179,node/431088510,0.51
179,node/497549320,6.61
179,node/517872826,2.45
179,node/517904544,1.75
179,node/1449508274,2.95
179,node/1860020712,0.54
179,node/4262750427,8.18
179,node/12409171546,4.97
179,node/13507759987,0.61
180,node/431088510,1.09
180,node/497549320,7.4
180,node/517872826,3.15
180,node/517904544,2.58
180,node/1449508274,3.67
180,node/1860020712,0.83
180,node/4262750427,8.81
180,node/12409171546,4.86
180,node/13507759987,1.15
181,node/431088510,0.7
181,node/497549320,6.87
181,node/517872826,2.65
181,node/517904544,2.03
181,node/1449508274,3.18
181,node/1860020712,0.57
181,node/4262750427,8.36
181,node/12409171546,4.98
181,node/13507759987,0.68
182,node/431088510,0.83
182,node/497549320,7.56
182,node/517872826,3.4
182,node/517904544,2.71
182,node/579794631,9.91
182,node/1449508274,3.91
182,node/1860020712,0.55
182,node/4262750427,9.12
182,node/12409171546,4.29
182,node/13507759987,1.45
183,node/431088510,1.08
183,node/497549320,7.2
183,node/517872826,2.94
183,node/517904544,2.4
183,node/1449508274,3.47
183,node/1860020712,0.86
183,node/4262750427,8.59
183,node/12409171546,5.04
183,node/13507759987,0.95
184,node/11469851119,9.72
185,node/11469851119,9.81
186,node/11469851119,9.59
187,node/11469851119,9.56
188,node/1599814456,5.87
188,node/10280266203,2.56
189,node/1599814456,7.23
189,node/10280266203,3.9
190,node/1599814456,6.15
190,node/10280266203,2.82
191,node/1599814456,6.92
191,node/10280266203,3.6
192,node/1599814456,5.99
192,node/10280266203,2.65
193,node/418342927,2.34
194,node/1394720950,7.92
194,node/1599814456,2.21
194,node/10280266203,1.33
195,node/1394720950,7.73
195,node/1599814456,2.04
195,node/10280266203,1.54
196,node/1394720950,8.26
196,node/1599814456,2.53
196,node/10280266203,1.02
197,node/1394720950,7.25
197,node/1599814456,1.7
197,node/10280266203,2.09
197,node/11833156908,9.89
198,node/1394720950,7.09
198,node/1599814456,1.64
198,node/10280266203,2.31
198,node/11833156908,9.76
199,node/1394720950,6.75
199,node/1599814456,1.44
199,node/10280266203,2.67
199,node/11833156908,9.43
200,node/1394720950,5.89
200,node/1599814456,0.43
200,node/10280266203,3.25
200,node/11833156908,8.49
201,node/1394720950,6.28
201,node/1599814456,0.71
201,node/10280266203,2.9
201,node/11833156908,8.88
202,node/1394720950,6.47
202,node/1599814456,0.79
